강릉, ,20 이상, , ,24.4,18.5,26.1,0.0,70,북북서,,1016.0
강진군, ,18.6, , ,31.0,23.6,32.4, ,65,남남서,,1012.4
강화, ,7.4, , ,19.4,18.4,22.7,5.9,94,북,,1016.4
거제, ,7.9, , ,27.9,24.1,30.4, ,80,동남동,,1014.4
거창, ,19.9, , ,27.1,21.8,29.1,0.4,73,남동,,1013.3
경주시,흐림,18.2,10,6,27.2,20.5,28.7,0.0,67,북,,1014.8
고산, ,20 이상, , ,29.2,26.2,32.1, ,84,남남동,,1014.2
고창, ,20 이상, , ,30.3,23.2,31.8, ,66,남남서,,1012.9
고창군,구름많음,20 이상,7,4,29.6,21.5,30.7, ,62,남,,1012.6
고흥, ,20 이상, , ,30.1,20.0,30.6, ,55,남서,,1013.4
광양시, ,20 이상, , ,30.9,24.0,32.5, ,67,남남동,,1013.8
광주,구름많음,20 이상,6,4,30.4,25.2,32.5, ,74,남서,,1013.0
구미, ,20 이상, , ,25.8,19.6,27.5,0.0,69,북동,,1014.4
군산, ,20 이상, , ,29.6,22.5,31.1,0.1,66,서남서,,1013.4
금산, ,19.9, , ,28.5,22.0,30.1,0.7,68,서남서,,1013.0
김해시, ,11.6, , ,28.0,24.2,30.5,0.0,80,남동,,1014.7
남원, ,20 이상, , ,30.5,22.3,31.6,0.0,62,남남서,,1013.0
남해, ,19.4, , ,31.0,23.3,32.3, ,64,남남서,,1013.5
대관령, ,11.8, , ,17.8,16.3,20.8,0.0,91,동,,1015.8
대구,흐림,19.7,9,3,28.0,16.9,28.2,0.2,51,남동,,1014.1
대전,흐림,20 이상,9,2,27.0,21.5,28.9,0.9,72,동,,1013.5
동두천, ,20 이상, , ,21.7,21.0,25.2,0.4,96,북북서,,1016.0
동해, ,20 이상, , ,23.1,17.9,25.0,0.0,73,북동,,1015.9
목포,구름많음,19.5,7,3,29.2,23.3,31.1, ,71,서남서,,1013.6
문경, ,16.8, , ,24.1,20.4,26.5,0.1,80,동남동,,1014.1
밀양, ,13.3, , ,29.9,21.8,31.0,0.0,62,남서,,1012.8
백령도,약한 비 연속적,7.8,10,7,19.6,19.1,23.1,3.9,97,남남동,,1014.2
보령, ,18.3, , ,27.9,21.6,29.6,0.0,69,남서,,1012.4
보성군, ,20 이상, , ,30.8,23.4,32.2,0.1,65,남남서,,1012.7
보은, ,20 이상, , ,25.2,17.3,26.3,1.2,62,북동,,1013.8
봉화, ,17.8, , ,21.1,16.9,23.3,0.2,77,동남동,,1015.0
부산,구름많음,20 이상,8,5,27.9,23.7,30.3,0.1,78,동,,1013.1
부안,구름많음,20 이상,7,3,29.2,23.1,31.0, ,70,서북서,,1013.5
부여, ,18.7, , ,28.3,22.0,30.0,0.0,69,서,,1014.0
북강릉,약한 비 연속적,19.8,10,8,22.7,18.6,25.0,0.0,78,남,,1015.5
북창원, ,20 이상, , ,32.1,24.6,33.5, ,65,남,,1013.2
북춘천,약한 비 단속적,16.0,10,7,22.5,20.5,25.5,0.0,89,서남서,,1015.4
산청, ,19.4, , ,29.4,23.3,31.2,0.0,70,동,,1013.4
상주, ,20 이상, , ,24.9,19.9,26.9,0.1,74,서남서,,1014.5
서귀포,구름조금,20 이상,4,4,28.9,24.8,31.4, ,79,남서,,1014.4
서산, ,20 이상, , ,24.6,19.6,26.6,0.0,74,북동,,1013.8
서울,보통 비 연속적,2.0,10,8,20.3,19.6,23.7,18.6,96,북북동,,1015.8
성산, ,20 이상, , ,29.9,24.0,31.8, ,71,남,,1014.4
세종, ,20 이상, , ,25.0,17.9,26.4,0.8,65,동북동,,1013.2
속초, ,20 이상, , ,23.2,19.9,25.8, ,82,북,,1015.8
수원,약한 비 연속적,9.5,10,7,21.4,19.5,24.4,1.4,89,북동,,1014.8
순창군, ,13.0, , ,29.9,23.3,31.5, ,68,서,,1013.0
순천, ,18.4, , ,29.6,23.7,31.5, ,71,남남동,,1012.3
안동,비 끝,12.8,10,9,24.3,20.8,26.8,0.0,81,정온,,1015.0
양산시, ,11.6, , ,25.7,23.9,28.9,0.1,90,남동,,1014.0
양평, ,9.2, , ,20.8,16.8,23.1,2.5,78,북북서,,1016.2
여수,맑음,20 이상,2,2,29.9,23.3,31.5, ,68,남남서,,1013.8
영광군,구름많음,20 이상,7,1,30.4,23.5,31.9,0.1,67,서남서,,1013.1
영덕, ,19.0, , ,24.2,22.0,27.2,0.2,88,동북동,,1015.1
영월, ,14.1, , ,22.3,19.0,24.8,0.1,82,정온,,1014.7
영주, ,19.8, , ,23.7,18.7,25.7,0.2,74,서북서,,1015.0
영천, ,20 이상, , ,27.1,18.3,28.0,0.0,59,동,,1015.1
완도, ,20 이상, , ,29.8,23.7,31.6, ,70,남동,,1013.8
울릉도,흐림,20 이상,9,2,23.7,20.4,26.3, ,82,동북동,,1015.3
울산,흐림,20 이상,9,6,26.1,19.9,27.8,1.0,69,북동,,1014.3
울진, ,10.8, , ,24.8,23.0,28.0,0.3,90,북북서,,1015.6
원주, ,7.4, , ,22.4,19.7,25.2,0.0,85,북북동,,1014.4
의령군, ,13.0, , ,31.0,23.6,32.4, ,65,동남동,,1013.5
의성, ,20 이상, , ,25.0,19.8,27.0,1.0,73,동북동,,1013.8
이천, ,2.2, , ,22.1,21.7,25.7,0.6,98,북동,,1015.0
인제, ,20 이상, , ,23.7,19.2,25.9, ,76,정온,,1015.2
인천,보통 비 연속적,2.7,10,8,19.6,17.7,22.6,23.8,89,북북동,,1015.8
임실, ,20 이상, , ,28.2,22.2,30.0, ,70,남서,,1012.9
장수, ,19.9, , ,29.3,22.5,30.8,0.0,67,남남서,,1012.3
장흥, ,20 이상, , ,30.1,23.7,31.8, ,69,남동,,1013.1
전주,구름많음,20 이상,8,8,30.2,22.8,31.6, ,65,서남서,,1012.5
정선군, ,20 이상, , ,22.3,18.6,24.7,0.2,80,서남서,,1015.2
정읍, ,20 이상, , ,30.2,21.5,31.1, ,60,남서,,1012.6
제주,구름많음,20 이상,6,6,29.8,23.0,31.3, ,67,동북동,,1014.2
제천, ,11.9, , ,22.1,19.4,24.8,0.0,85,동북동,,1014.9
진도군, ,19.9, , ,29.4,23.1,31.1, ,69,남,,1013.3
진주, ,19.9, , ,31.4,23.5,32.6, ,63,북서,,1013.6
창원,구름많음,14.0,8,8,27.9,23.9,30.4,0.0,79,남남동,,1013.5
천안, ,20 이상, , ,23.9,19.1,26.0,1.1,75,동,,1014.4
철원, ,20 이상, , ,23.1,22.4,26.6,0.0,96,북북동,,1015.2
청송군, , , , ,23.4,19.5,25.8,0.0,79,동남동,,1015.3
청주,흐림,20 이상,10,7,25.7,18.6,27.1,0.0,65,동북동,,1013.7
추풍령, ,20 이상, , ,24.7,18.3,26.3,0.1,68,동,,1013.4
춘천, ,14.3, , ,22.7,19.6,25.3,0.1,83,북북서,,1015.4
충주, ,17.2, , ,23.2,19.3,25.6,0.3,79,동,,1014.3
태백, ,13.4, , ,19.0,16.4,21.7,0.2,85,동,,1015.4
통영, ,11.5, , ,29.2,26.0,32.0,0.0,83,남남동,,1013.8
파주, ,20 이상, , ,21.7,21.1,25.2,1.1,97,북,,1016.2
포항,흐림,20 이상,10,5,26.5,20.5,28.2,0.0,70,북동,,1015.2
함양군, ,20 이상, , ,29.2,23.1,31.0,0.0,70,동북동,,1013.0
합천, ,16.4, , ,29.2,23.3,31.1, ,71,동북동,,1013.6
해남, ,20 이상, , ,30.2,23.6,31.8, ,68,서남서,,1013.8
홍성,약한 비 단속적,10.8,10,8,24.8,21.1,27.3,0.0,80,북북동,,1013.7
홍천, ,20 이상, , ,21.2,19.6,24.3,1.2,91,남서,,1015.9
흑산도,구름많음,20 이상,7,5,28.8,26.6,32.0, ,88,남남동,,1012.8
